Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
20200916,AK,7365,1647,247,,168,1124,253,228,220,3478,396,2498,4471,44,18,0,,3,16,5,0,0,2,1,40,3
20200916,AL,141087,42656,32327,,497,,,,9194,56411,7383,61300,72390,2392,1230,893,,8,,,,52,209,64,1920,407
20200916,AR,72219,40731,15527,,865,188,2238,583,5055,7032,14227,57991,1,1157,659,224,,13,2,43,7,52,157,77,1080,1157
20200916,AS,,,,,,,,,,,,,,,,,,,,,,,,,,
20200916,AZ,209907,50386,6366,63752,2047,12442,,,6848,68066,63752,78089,68066,5371,1845,169,1639,62,566,,,89,603,1639,3129,603
20200916,CA,762963,88615,22345,318025,28773,1315,2874,5273,55644,240099,318025,204839,240099,14615,4243,1101,6939,1673,42,58,98,110,351,6939,7325,351
20200916,CO,62099,23032,2806,23349,1223,335,242,832,496,9780,23349,28966,,1905,1192,121,441,60,13,5,26,8,35,441,1425,35
20200916,CT,55166,19362,7263,10813,811,53,,236,384,16244,10813,28109,16244,4487,3279,661,400,48,2,,35,21,41,400,4046,41
20200916,DC,14743,3206,7566,,230,37,39,,3573,92,3780,9681,1282,617,67,459,77,8,,,,0,6,77,534,6
20200916,DE,19234,6914,5104,4528,256,,,,893,1539,4528,13167,1539,619,398,160,48,1,,,,12,0,48,571,0
20200916,FL,671201,165636,98469,192387,,,,,43502,171207,192387,263248,215566,13100,6169,2394,3246,,,,,548,743,3246,8395,1459
20200916,GA,299056,87253,76495,38142,4565,177,323,,8351,83750,38142,146662,114252,6419,3106,2688,401,119,6,8,,21,70,401,5932,86
20200916,GU,2013,249,,,513,,874,,193,184,,,,29,,,,,,,,,29,,,29
20200916,HI,10946,739,84,,1671,,1966,,231,6255,,,,103,7,5,,42,,24,,5,20,,,
20200916,IA,76302,53412,4578,,2289,763,763,,1526,12971,10682,52649,12971,1237,1011,45,,24,4,11,,6,132,69,1021,145
20200916,ID,36093,17509,346,,263,529,94,1205,3788,12359,6500,12834,16758,429,405,4,,3,5,,,5,7,50,373,6
20200916,IL,268246,75851,37577,70155,6146,343,491,,9665,68018,70155,130073,68018,8599,3911,2191,1689,377,12,11,,48,360,1689,6550,128
20200916,IN,107809,57510,10696,,1224,,,,15889,22490,9550,39657,58602,3472,2139,440,,17,,,,425,451,72,1660,1740
20200916,KS,50870,33504,3671,,1354,383,,,2913,9045,13333,25707,11830,586,416,83,,13,6,,,38,30,89,451,46
20200916,KY,58764,32130,4678,,516,147,55,2311,,18927,4253,32832,21679,1082,821,128,,12,0,,23,,98,34,907,141
20200916,LA,159865,60748,58240,,7806,415,183,,14428,18045,,,159865,5294,2657,2371,,34,4,6,,28,194,137,4859,298
20200916,MA,125699,39428,11989,28288,2757,,,,7832,35405,28288,62006,35405,9245,6978,752,642,232,,,,587,54,642,8549,54
20200916,MD,117888,28864,37639,25940,2249,,,,5437,17759,25940,74189,17759,3855,1643,1575,442,142,,,,40,13,442,3400,13
20200916,ME,4941,3247,961,,112,10,3,23,140,445,199,3982,760,138,121,4,,0,0,0,0,0,13,0,114,24
20200916,MI,125742,59727,26690,,2348,547,,8355,8051,20024,9109,77426,39207,6943,3749,2663,,88,19,,100,138,186,198,5629,1116
20200916,MN,85813,39675,16024,14110,4691,699,126,1099,1461,7928,14110,63775,7928,1985,1494,187,93,90,35,2,12,13,51,93,1827,51
20200916,MO,106587,27713,11725,,,,,2132,2132,62885,7599,60593,38403,1739,947,474,,,,,17,60,241,62,1443,233
20200916,MP,61,,,,,,,,,61,,,,2,,,,,,,,,2,,,
20200916,MS,91234,31587,36303,2691,319,1261,,,5493,13580,2691,55868,32675,2756,1250,1285,38,6,85,,,37,56,38,2338,380
20200916,MT,9431,5086,64,,34,1622,,,96,2529,359,6289,2783,141,65,,,,33,,,,43,,,
20200916,NC,188024,84156,34538,,2827,2315,291,,22873,41024,43888,81487,62649,3149,1795,912,,40,41,4,,203,154,279,2524,346
20200916,ND,16333,8956,1149,,256,878,,269,33,4792,,,16333,141,,,,,,,,,141,,,141
20200916,NE,39419,24900,2200,,1500,391,64,,1900,8464,11600,18100,9719,439,342,31,,18,11,0,,12,25,88,297,54
20200916,NH,7780,5064,372,971,215,,,,250,908,971,5901,908,438,401,9,12,4,,,,1,11,12,415,11
20200916,NJ,197792,47270,20768,38128,6464,,,,14575,70587,38128,89077,70587,16054,8578,2846,3180,872,,,,298,280,3180,12594,280
20200916,NM,27041,3931,484,12173,173,8315,,,,1965,12173,12903,1965,832,173,7,159,2,404,,,,87,159,586,87
20200916,NV,74248,15323,4659,24422,4159,288,,,6000,19397,24422,30429,19397,1494,494,114,223,116,8,,,10,529,223,742,529
20200916,NY,446366,,,,,,,,,446366,,,,28669,8790,6449,6788,1716,,,,1843,3083,6788,18798,3083
20200916,OH,140518,77635,29216,,3568,177,188,4289,9200,16245,8633,100748,31137,4555,3518,835,,46,3,2,62,31,58,100,4359,96
